0.072499999999999995004,0.0, -90.0,0.0,-20.0,20.0
0.0,0.0, 90.0,-90.0,-14.9999999999999982236,40.0
0.0304111999999999993438,-0.161132999999999998453, -104.510818999999997914,14.9999999999999982236,-40.0,40.0
0.0,0.163978000000000012637, 90.0,-90.0,-90.0,2.0
0.0,0.0, 90.0,75.5,-5.0,140.0
0.0106499999999999997446,0.200500000000000011546, -90.0,75.0,-45.0,80.0
-0.0146593000000000001082,-0.00308819000000000020573, 90.0,0.0,-5.0,110.0
0.00200750000000000016973,0.162800000000000000266, 90.0,-90.0,-59.9999999999999928946,59.9999999999999928946
0.0,0.0, 90.0,90.0,-70.0,25.0
0.0625,-0.0160000000000000003331, 0.0,0.0,-14.9999999999999982236,35.0

